exp_name,ckpt,readout,pooling,task,pr_auc_v1,pr_auc_untrained_v1,gap_v1,n_test_pos_v1,base_rate_v1,pr_auc_v2,pr_auc_untrained_v2,gap_v2,n_test_pos_v2,base_rate_v2,delta_pr_auc,delta_gap,delta_n_test_pos
exp03_fb0_b1p0_none,best,logistic,mean,eb,0.7136257850921138,0.7125878172203186,0.0010379678717952,196,0.0969816922315685,0.7208853437565678,0.7176276009331412,0.0032577428234266,189,0.0935180603661553,0.007259558664453936,0.0022197749516314003,-7
exp03_fb0_b0p3_lpsd,best,mlp,max,eb,0.6641906785867729,0.7117152244859503,-0.0475245458991773,196,0.0969816922315685,0.6713427435915236,0.7017002300695743,-0.0303574864780507,189,0.0935180603661553,0.0071520650047506296,0.017167059421126604,-7
exp03_fb0_b0p1_comb,best,gbm,mean,eb,0.7852486009717462,0.7314949660210456,0.0537536349507006,196,0.0969816922315685,0.7922871590811977,0.7215409961290331,0.0707461629521646,189,0.0935180603661553,0.0070385581094515315,0.016992528001463995,-7
exp03_fb0p1_b0p1_lpsd,best_recon_aux,gbm,quantile,eb,0.7443233949078636,0.7303331510105068,0.0139902438973568,196,0.0969816922315685,0.751314026453115,0.7330848949460695,0.0182291315070454,189,0.0935180603661553,0.006990631545251369,0.004238887609688602,-7
exp03_fb0p02_b1p0_lpsd,best_recon_aux,gbm,quantile,eb,0.7456429229753642,0.7303331510105068,0.0153097719648573,196,0.0969816922315685,0.7525637933236171,0.7330848949460695,0.0194788983775475,189,0.0935180603661553,0.00692087034825295,0.004169126412690202,-7
exp03_fb0p05_b0p3_lpsd,best_recon_aux,logistic,quantile,eb,0.6983276605438015,0.6852215032151786,0.0131061573286228,196,0.0969816922315685,0.7051942850944631,0.6899515602232781,0.015242724871185,189,0.0935180603661553,0.006866624550661671,0.0021365675425622007,-7
exp03_fb0p1_b0p1_lpsd,best_recon_aux,gbm,mean,eb,0.7204402254340666,0.7314949660210456,-0.0110547405869789,196,0.0969816922315685,0.7271048930999191,0.7215409961290331,0.0055638969708859,189,0.0935180603661553,0.006664667665852497,0.0166186375578648,-7
exp03_fb0p02_b0p1_lpsd,best_recon_aux,gbm,quantile,eb,0.7225803790675549,0.7303331510105068,-0.0077527719429518,196,0.0969816922315685,0.7291762909114616,0.7330848949460695,-0.0039086040346079,189,0.0935180603661553,0.006595911843906732,0.0038441679083439,-7
exp03_fb0p02_b0p1_lpsd,best,gbm,quantile,eb,0.7225803790675549,0.7303331510105068,-0.0077527719429518,196,0.0969816922315685,0.7291762909114616,0.7330848949460695,-0.0039086040346079,189,0.0935180603661553,0.006595911843906732,0.0038441679083439,-7
exp03_fb0_b0p1_comb,best_recon_aux,gbm,mean,eb,0.7747553439458292,0.7314949660210456,0.0432603779247836,196,0.0969816922315685,0.7813477796581784,0.7215409961290331,0.0598067835291452,189,0.0935180603661553,0.006592435712349132,0.016546405604361603,-7
exp03_fb0p05_b0p3_lpsd,best,gbm,max,eb,0.776565806161777,0.7648959875211593,0.0116698186406176,196,0.0969816922315685,0.7830091730592377,0.7778161368178547,0.005193036241383,189,0.0935180603661553,0.006443366897460723,-0.006476782399234601,-7
